"batch_label","batch_id","alpha2_code","jurisdiction_name","stage","next_action","assessment_status","certification_status","source_url","monitor_status","baseline_state","snapshot_id","snapshot_quality","snapshot_classification","assertion_status","assertion_id","coverage_ready","missing_gates","eligible_to_queue"
"Africa tranche 1A evidence batch","4809d487-aec5-4884-834b-62a729618f1b","BW","Botswana","pending_independent_review","Complete independent assessment and certification review.","approved","rejected","https://evisa.gov.bw/","active","pending_independent_review","cbc855c7-eed5-482f-b758-467731c5d2b4","21","navigation_heavy","missing","","False","fresh_monitor;verified_rule","False"
"Africa tranche 1A evidence batch","4809d487-aec5-4884-834b-62a729618f1b","IO","British Indian Ocean Territory","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://www.biot.gov.io/visiting/visa-requirements/","active","pending_independent_review","fc524ffb-da2e-445c-b590-84f476fefb87","85","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 1A evidence batch","4809d487-aec5-4884-834b-62a729618f1b","BF","Burkina Faso","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://www.visaburkina.bf/en/home/","active","pending_independent_review","935d3a84-52fb-4d29-9b17-9a885c8a0420","71","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 1A evidence batch","4809d487-aec5-4884-834b-62a729618f1b","BI","Burundi","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://www.mae.gov.bi/en/visa-application-forms/","active","pending_independent_review","5841879e-6c3f-4bdc-8713-81680cb0b298","82","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 1A evidence batch","4809d487-aec5-4884-834b-62a729618f1b","CV","Cabo Verde","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://portalconsular.mnec.gov.cv/en/vistos","active","pending_independent_review","6459a47b-dac1-40f2-88fb-3aaf24355ecf","86","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 1A evidence batch","4809d487-aec5-4884-834b-62a729618f1b","CM","Cameroon","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://www.evisacam.cm/","active","pending_independent_review","10a44663-a7b8-4347-81da-1af689ef2a82","57","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
"Africa tranche 1A evidence batch","4809d487-aec5-4884-834b-62a729618f1b","CF","Central African Republic","pending_independent_review","Complete independent assessment and certification review.","pending_review","pending_review","https://paris.diplomatie.gouv.cf/services/24/visa-court-sejour","active","pending_independent_review","946256b8-81b3-4553-92a0-fce380417c6b","73","suitable_for_narrow_draft","missing","","False","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","False"
